 ,Tribes ID,# avis Glassdoor,Note Glassdoor,Classements,Secteur,Business,Business Model,Cible,Fonds,Dernière levée (M€),Linkedin,Création,# employés,# d'employés,Domaine,Website,WTTJ,Mail type,Revenus,Croissance /an,Certification RH
Seraphin.legal,02SCzETJO,2,4,-,Legaltech,Votre partenaire Legal Tech,Service,B2B,Turenne Capital,"2,0",https://www.linkedin.com/company/11106742,2016,11-50,12,seraphin.legal,http://seraphin.legal,,,-,n.a.,-
FoxNot,02SCy52C2,-,n.a.,-,Legaltech,Un outil en ligne simple et sécurisé pour transférer à votre notaire en quelques clics les éléments de votre dossier. ,Service,B2C,La Caisse des Dépôts,"2,2",https://www.linkedin.com/company/foxnot/,2015,11-50,15,foxnot.com,https://www.foxnot.com/,,,-,n.a.,-
Testamento,02SCyC2iS,-,n.a.,-,Legaltech,"La garantie que vos volontés seront respectées, grâce à votre plateforme d'anticipation successorale. Protégez vos proches, sécurisez vos volontés !",Service,B2C,"La France Mutualiste, Allianz France, Malakoff Médéric Humanis","3,0",https://www.linkedin.com/company/3346359,2013,2-10,22,pro.testamento.fr,https://pro.testamento.fr,,,-,n.a.,-
Meero,02HTpXxvm,138,"3,6",Next 40,Marketing,"Where freedom, community and creativity come together",Marketplace,B2B,"Eurazeo Growth, Prime Ventures, Avenir Growth et les investisseurs historiques : Global Founders Capital, Aglaé Ventures, Alven, White Star Capital, Idinvest","205,0",https://www.linkedin.com/company/5113460,2014,11-50,-,meero.com,https://www.meero.com,,prénom@meero.com,-,n.a.,-
Air Indemnité,02OD6aUM3,-,n.a.,-,Legaltech,"Air Indemnité aide les passagers aériens victimes de retard, d'annulation de vol ou de surbooking à obtenir l'indemnisation",Service,B2C,"A plus Finance, Sigma Gestion","4,0",https://www.linkedin.com/company/9439982,2007,11-50,25,air-indemnite.com,http://www.air-indemnite.com,,,-,n.a.,-
Meilleurs Agents,01yChpgMj,-,n.a.,-,Immobilier,N°1 des prix immobilier et estimation en ligne,Marketplace,B2C,-,,https://www.linkedin.com/company/meilleursagents/,2008,201-500,81,meilleursagents.com,https://www.meilleursagents.com/,,,-,n.a.,-
Mention,01yCiJzPC,16,"4,1",-,Marketing,Social Mentions Monitoring - Track Your Performance‎,SaaS,B2B,-,,https://www.linkedin.com/company/2541908,2012,11-50,-,mention.com,https://mention.com,,prénom@mention.com,-,n.a.,-
Metron,02Ra64t,-,n.a.,-,Greentech,L'Intelligence énergétique pour les Industries,SaaS,B2B,"NTT DOCOMO Ventures, StatKraft Ventures, BNP Paribas, Breed Reply","10,0",https://www.linkedin.com/company/9202240,2013,11-50,40,metronlab.com,http://www.metronlab.com,,prénom.nom@metronlab.com,-,n.a.,-
Métron,01m4ROfmt,-,n.a.,-,Data,L'Intelligence énergétique pour les Industries,Autres,B2B,-,,https://www.linkedin.com/company/metron-sas/,2013,51-200,-,metronlab.com,https://www.metronlab.com/,,,-,n.a.,-
Microphyt,02Q2bQ42N,-,n.a.,FT 120,Med / Biotech,Med / Biotech,Produit,B2C,"Sofinnova Partners, Bpifrance, IXO-Private Equity, Sofilaro","28,5",https://www.linkedin.com/company/microphyt/,2007,11-50,130,icrophyt.eu,http://www.microphyt.eu/,,,-,n.a.,-
Case Law Analytics,02SCyYI07,-,n.a.,-,Legaltech,Quantifier le risque juridique‎,SaaS,B2B,"Pays de la Loire Développement, Pays de la Loire Participation, Innov’Allianz, Syllex, Bamboo","2,0",https://www.linkedin.com/company/case-law-analytics/,2017,11-50,52,caselawanalytics.com,https://www.caselawanalytics.com/,,,-,n.a.,-
Mindsay,02Tv8N8X9,1,5,-,Marketing,Conversational AI + Process Automation,SaaS,B2B,"White Star Capital, Partech, Accor, Groupe ADP","8,9",https://www.linkedin.com/company/mindsayai/,2016,51-200,197,mindsay.com,https://www.mindsay.com,,,-,n.a.,-
Mindsay (ex Destygo),02A0azQM3,-,n.a.,-,Deeptech,Conversational AI + Process Automation,SaaS,B2B,-,,https://www.linkedin.com/company/mindsayai/,2016,51-200,20,mindsay.com,https://www.mindsay.com/,,,-,n.a.,-
Mirakl,01yCiP5Xx,79,"4,4",Next 40,Marketing,1er editeur de solutions de Marketplace,SaaS,B2B,"Bain Capital Ventures, 83North, Felix Capital, Elaia Partners","62,0",https://www.linkedin.com/company/2797328,2011,51-200,-,mirakl.com,http://www.mirakl.com,,prénom.nom@mirakl.com,-,n.a.,-
MisterFly,01yCi29nY,21,"4,2",FT 120,Tourisme,"Comparez vos Billets d'Avion, Hôtels & Location de Voiture sur MisterFly.",Marketplace,B2C,-,,https://www.linkedin.com/company/9462863,2014,11-50,-,misterfly.com,http://www.misterfly.com,,,-,n.a.,-
Mistertemp’,01yCiUxsg,-,n.a.,FT 120,RH,Votre agence d'intérim - leader du recrutement en interim,Marketplace,B2B,-,,https://www.linkedin.com/company/mistertemp/,2016,51-200,-,mistertemp.com,https://www.mistertemp.com/,,,-,n.a.,-
Tilkal,02SCzM35Q,-,n.a.,-,Legaltech,End-to-end traceability platform for supply chains,SaaS,B2B,"Breega, Ventech","3,5",https://www.linkedin.com/company/15206002,2017,11-50,52,tilkal.com,https://www.tilkal.com,,,-,n.a.,-
Hyperlex,02SCy5Q52,-,n.a.,-,Legaltech,Logiciel Gestion de contrats‎,SaaS,B2B,"Elaia, Axeleo Capital, ISAI Venture, Kernel Investissements","4,0",https://www.linkedin.com/company/hyperlex-software/,2017,11-50,54,hyperlex.ai,https://hyperlex.ai,,,-,n.a.,-
Predictice,02SCyiSYI,-,n.a.,-,Legaltech,La recherche et l'analyse juridique,SaaS,B2C,-,"5,0",https://www.linkedin.com/company/predictice/,2016,11-50,55,predictice.com,https://predictice.com/,,,-,n.a.,-
LegalPlace,02SCzJOSP,2,5,-,Legaltech,Legalplace : faire vos contrats et formalités devient facile.,SaaS,B2B,"Day One Entrepreneurs & Partners, Afir, bpifrance","6,0",https://www.linkedin.com/company/10546965,2015,2-10,60,legalplace.fr,http://www.legalplace.fr,,prénom@legalplace.fr,-,n.a.,-
Leeway,01yCiMXXB,-,n.a.,-,Legaltech,Négociez et gérez vos contrats simplement,SaaS,B2B,-,,https://www.linkedin.com/company/getleeway,2019,2-10,72,getleeway.co,https://www.getleeway.com,,,-,n.a.,-
Justifit (ex Mon Avocat),02JzG3soT,-,n.a.,-,Legaltech,Trouver un avocat près de chez vous,Marketplace,B2C,-,,https://www.linkedin.com/company/justifit-france/,2014,11-50,-,justifit.fr,https://www.justifit.fr/,,,-,n.a.,-
Morphosense,02Tv8X9,165,"3,4",-,Data,Développe des capteurs pour les infrastructures de génie civil,Autres,B2B,"Sofimac Innovation, Bouygues Construction, le Crédit Agricole Alpes Développement","2,0",https://www.linkedin.com/company/morphosense/,2016,11-50,11,morphosense.com/?lang=f,https://morphosense.com/?lang=fr,,,-,n.a.,-
Shopopop,02SCyct2b,-,n.a.,-,logistique,Livrez vos voisins - Devenez livreur occasionnel‎,Marketplace,B2C,"Go Capital, West Web Valley, Pays-de-Loire Participations, Bamboo","4,0",https://www.linkedin.com/company/shopopop/,2015,11-50,27,littleworker.fr,https://www.littleworker.fr/,,,-,n.a.,-
MusicWorldMedia,02L7BZM,1,3,-,Divertissement,Edite des applications couvrant les principaux besoins de la musique,Autres,B2B,"blisce/, Idinvest Partners, Large Venture, Aglaé Ventures, Xavier Niel","50,0",https://www.linkedin.com/company/mwmcompany/,2012,51-200,500,musicworldmedia.com,https://musicworldmedia.com/,,,-,n.a.,-
My Coach Sport,01yCiVa,-,n.a.,-,Divertissement,Spécialisée dans la conception de solutions numériques dans le secteur du sport.,Autres,B2B,"ACG Management, Calao Finance, MAIF Avenir, Région Sud Investissement, Turenne Capital, 123 Investissement Managers, bpiFrance","6,6",https://www.linkedin.com/company/mycoachsport/,2011,51-200,40,mycoachsport.com,https://www.mycoachsport.com/fr/,,,-,n.a.,-
Kardinal,02SCy2bo6,-,n.a.,-,logistique,Optimisation de Tournées en Temps Réel,SaaS,B2B,"Serena Capital, Erik Maris, Marc Simoncini, Philippe Lazare","2,0",https://www.linkedin.com/company/kardinalai/,2015,11-50,73,kardinal.ai,https://kardinal.ai/,,,-,n.a.,-
Shippeo,01m4RPyjp,7,"4,7",Top Linkedin,logistique,Visibilité prédictive et temps réel de vos livraisons,SaaS,B2B,-,,https://www.linkedin.com/company/5221437,2014,11-50,80,shippeo.com,https://www.shippeo.com,,prénom.nom@shippeo.com,-,n.a.,-
Califrais,02Q2UQvxL,-,n.a.,-,logistique,Une révolution pour votre restaurant | Califrais,Marketplace,B2B,-,,https://www.linkedin.com/company/6577850,2014,2-10,-,califrais.paris,https://www.califrais.paris,,prénom@califrais.paris,-,n.a.,-
Bliink,02Q2Y3qQv,-,n.a.,-,Marketing,Visual Intelligence,Service,B2B,"Axeleo Capital, Evolem Start","2,5",https://www.linkedin.com/company/bliink-io/,2018,11-50,18,bliink.io,https://bliink.io/,,,-,n.a.,-
Pepsia,02IZAkClH,-,n.a.,-,Marketing,"Pepsia, monetized video content provider",Service,B2B,"IRDI Soridec, bpifrance","3,0",https://www.linkedin.com/company/pepsia/,2016,11-50,22,pepsia.com,https://pepsia.com/,,,-,n.a.,-
Dawex,02Q2Xwz3q,-,n.a.,-,Marketing,"Sourcer, échanger, monétiser vos données",Marketplace,B2B,"Amadeus, Itochu Corporation, Bouygues Construction, la Banque des Territoires","5,0",https://www.linkedin.com/company/9461457,2015,2-10,30,dawex.com,https://www.dawex.com,,,-,n.a.,-
Sybel,01yCi1A1B,-,n.a.,-,Marketing,Des séries à écouter - Inscrivez-vous dès maintenant‎,Service,B2C,Mangrove,"5,0",https://www.linkedin.com/company/12589253,2018,11-50,32,sybel.co,http://www.sybel.co,,,-,n.a.,-
Naïo Technologies,02EK8BoMN,-,n.a.,-,Agritech,"Des robots agricoles et viticoles pour une agriculture plus humaine, rentable, saine et durable.",Produit,B2B,"Bpifrance, Capagro, Demeter, Pymwymic","14,0",https://www.linkedin.com/company/na-o-technologies/,2011,51-200,79,naio-technologies.com,https://www.naio-technologies.com/,,,-,n.a.,-
Creads,01yCi1F1A,-,n.a.,-,Marketing,La plateforme freelance spécialisée vidéo …,Marketplace,B2B,LEI,"5,5",https://www.linkedin.com/company/336973,2008,11-50,34,creads.fr,http://www.creads.fr/,,,-,n.a.,-
Majelan,02SCyFfHl,-,n.a.,-,Marketing,"Découvrez, écoutez & téléchargez des milliers de contenus audio, podcasts & radio !",Service,B2C,"Bpifrance, Idinvest Partners","6,0",https://www.linkedin.com/company/12627784,2018,11-50,37,majelan.com,http://www.majelan.com,,,-,n.a.,-
Adrenalead,02SCyYISP,-,n.a.,-,Marketing,Solution d'activation clients par Web Push Notifications.,SaaS,B2B,Side Capital,"1,0",https://www.linkedin.com/company/adrenalead/?originalSubdomain=fr,2018,11-50,83,adrenalead.com,https://adrenalead.com/,,,-,n.a.,-
Kamp'n,02QbCE0wz,-,n.a.,-,Marketing,FB Ads et Google Ads‎,SaaS,B2B,"ACG Management, Provence Business angels","2,0",https://www.linkedin.com/company/kamp'n/,2016,11-50,90,kampn.com,https://www.kampn.com/,,,-,n.a.,-
Konverso,02Q2UxLc2,-,n.a.,-,Marketing,ChatBot Omnicanal - hellomybot.io‎,SaaS,B2B,business angels,"2,0",https://www.linkedin.com/company/konverso/,2017,11-50,94,konverso.ai,https://www.konverso.ai/,,,-,n.a.,-
Netatmo,02MJS8IQQ,42,"4,8",Top Linkedin,Iot,"Votre maison plus intelligente, tout simplement",Produit,B2C,-,,https://www.linkedin.com/company/2481168,2011,51-200,-,netatmo.com,http://www.netatmo.com,,prénom.nom@netatmo.com,-,n.a.,-
Pubstack,02OD7c2nY,-,n.a.,-,Marketing,Advertising Performance Monitoring,SaaS,B2B,Business angels,"2,0",https://www.linkedin.com/company/12974934,2018,11-50,94,pubstack.io,https://pubstack.io,,,-,n.a.,-
NH Theraguix,01yCiVaVj,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Bpifrance, Supernova Invest, Omnes, Arbevel","13,0",https://www.linkedin.com/company/nh-theraguix/,2015,11-50,73,nhtheraguix.com,http://nhtheraguix.com/,,,-,n.a.,-
Nicecactus,02L7BQu,-,n.a.,-,Divertissement,The first all-inclusive platform to improve your gaming skills.,Autres,B2C,-,"5,0",https://www.linkedin.com/company/esport-management/,2017,51-200,30,nicecactus.gg,https://nicecactus.gg/,,,-,n.a.,-
SalesApps,01yCiUvtP,-,n.a.,-,Marketing,Accompagnez vos commerciaux - showpad.com‎,SaaS,B2B,Odyssée Venture,"2,0",https://www.linkedin.com/company/limberapps/,2014,11-50,95,salesapps.io,https://www.salesapps.io/,,,-,n.a.,-
Easylive,02Lk88qN8,-,n.a.,-,Marketing,Votre studio de production tout-en-un 100% cloud,SaaS,B2B,Trust Esport,"2,1",https://www.linkedin.com/company/3294460,2012,2-10,112,easylive.io,https://easylive.io/,,,-,n.a.,-
Aive,02ODbwMxL,8,5,-,Marketing,The future of video designed by a Creative AI,SaaS,B2B,Business angels,"2,5",https://fr.linkedin.com/company/aive,2019,11-50,114,aive.com,https://www.aive.com/,,,-,n.a.,-
Novaquark,02IZAkM,-,n.a.,-,Gaming,"Novaquark est une société française, studio et éditeur de jeu vidéo.",Service,B2C,"Andurance Venture, Azom Partners","11,2",https://www.linkedin.com/company/novaquark/,2014,51-200,66,dualthegame.com/fr/novaquark,https://www.dualthegame.com/fr/novaquark/,,,-,n.a.,-
Datategy,02Q2UQvFf,-,n.a.,-,Marketing,L'Intelligence Artificielle qui propulse la stratégie ...,SaaS,B2B,Bpifrance,"2,5",https://www.linkedin.com/company/datategy/,2016,11-50,120,datategy.net,http://datategy.net/,,,-,n.a.,-
Mediatech Solutions,02OD79tAP,-,n.a.,-,Marketing,Plateforme leader de la Voix-du-Client,SaaS,B2B,Entrepreneur Ventures,"2,6",https://www.linkedin.com/company/mediatech-cx/,2007,11-50,120,mediatech-cx.com,https://www.mediatech-cx.com/,,,-,n.a.,-
Onatera,02JzG3s,-,n.a.,-,Ecommerce,Expert du bien-être holistique,Marketplace,B2C,Capital Croissance,"10,0",https://www.linkedin.com/company/11449439,2011,51-200,52,onatera.com,http://www.onatera.com,,,-,n.a.,-
Onepark,02Ne3PNAp,3,"3,9",-,Mobilité,Réservation de parking au meilleur prix,Service,B2C,"ADP, AccorHotels, Keolis","15,0",https://www.linkedin.com/company/2847123,2013,2-10,88,onepark.fr,https://www.onepark.fr,,,-,n.a.,-
OpenClassrooms,02Q2Xwz,30,3,Next 40,Edtech,Des parcours diplômants et des cours / e-learning,SaaS,B2B,-,,https://www.linkedin.com/company/554384,2007,11-50,25,openclassrooms.com,http://www.openclassrooms.com,,prénom.nom@openclassrooms.com,-,n.a.,-
Optimum Automotive,02H3jztPN,-,n.a.,-,Mobilité,Gestion de parc automobile des entreprises GESTION DE FLOTTE 360°,SaaS,B2B,"Paris Fonds Vert, Amundi Private Equity Funds, Région Sud investissement, A Plus Finance, SCR Provençale et Corse","14,0",https://www.linkedin.com/company/2774859,2006,51-200,-,optimum-automotive.com,https://www.optimum-automotive.com,,,-,n.a.,-
Plezi,02P0neYII,7,"4,8",-,Marketing,Logiciel Marketing Automation B2B & Inbound Marketing,SaaS,B2B,Odyssée Venture,"3,0",https://www.linkedin.com/company/10102513,2015,11-50,120,plezi.co,http://www.plezi.co,,prénom.nom@plezi.co,-,n.a.,-
Ornikar,01yChoSJB,4,"4,2",FT 120,Mobilité,"Auto-École en Ligne - Obtenez votre Code pour 29,90€‎",Marketplace,B2C,"Idinvest Partners, Brighteye, bpifrance, Elaia","35,0",https://www.linkedin.com/company/5403309,2014,11-50,168,ornikar.com,http://www.ornikar.com,,prénom@ornikar.com,-,n.a.,-
Zaion,01yChlH1F,-,n.a.,-,Marketing,"Zaion - CallBot, VoiceBot, Chatbot‎",SaaS,B2B,La France Mutualiste,"3,0",https://www.linkedin.com/company/zaion-callbot/,2017,11-50,125,zaion.ai,https://zaion.ai/,,,-,n.a.,-
Strapi,02SCyKLE0,-,n.a.,-,Marketing,Open source Node.js Headless CMS,SaaS,B2B,"Accel, Stride","3,5",https://www.linkedin.com/company/11251903,2016,11-50,126,strapi.io,https://strapi.io,,,-,n.a.,-
Livestorm,01wa3Y0Nj,2,5,-,Marketing,Plateforme de Webinar 2.0 - Webcast & Streaming Livestorm‎,SaaS,B2B,"Aglaé Ventures, Bpifrance, Raise Ventures","4,6",https://www.linkedin.com/company/10625816,2016,11-50,135,livestorm.co,https://livestorm.co,,prénom@livestorm.co,-,n.a.,-
Outsight,02L8C0v,-,n.a.,-,Iot,La startup française développe une technologie à mi-chemin entre la caméra et le laser,Produit,B2B,"Demeter Partners, SPDG, Faurecia Ventures, Safran Corporate Ventures","18,0",https://www.linkedin.com/company/outsight/,2019,11-50,97,outsight.tech,https://www.outsight.tech/,,,-,n.a.,-
OVH,02SCzJO,-,n.a.,Next 40,Telecom,"OVHcloud accompagne votre évolution grâce au meilleur des infrastructures web : hébergement, nom de domaine, serveur dédié, CDN, Cloud, Big Data",SaaS,B2B,-,,https://www.linkedin.com/company/1883877,1999,1001-5000,205,ovhcloud.com,https://www.ovhcloud.com/en/,,,-,n.a.,-
Owkin,01yCiJzOf,5,5,-,Med / Biotech,Med / Biotech,Produit,B2C,"F-Prime Capital, Eight Roads Ventures, GV, Cathay Innovation, NJF Capital","13,5",https://www.linkedin.com/company/owkin/,2016,51-200,74,owkin.com,http://www.owkin.com,,,-,n.a.,-
BeOp,02OCiHlwM,-,n.a.,-,Marketing,La conversation est la meilleure publicité - BeOp,SaaS,B2B,"Breega Capital, Waterstart Capital","6,0",https://www.linkedin.com/company/beopinion/,2015,11-50,179,beop.io,https://beop.io/,,,-,n.a.,-
Papernest,02ELMVSwQ,46,"3,9",FT 120,Immobilier,"Papernest, c'est une web-application 100% gratuite, construite pour que les contrats de votre déménagement se traitent à la vitesse de l'éclair.",Service,B2C,-,,https://www.linkedin.com/company/9295280,2015,2-10,-,papernest.com,http://www.papernest.com,,,-,n.a.,-
ReachFive,02SEPYjGu,-,n.a.,-,Marketing,Gestion des Identités et Accès Client pour le B2C,SaaS,B2B,"CapHorn Invest, Dawn Capital, Ventech","8,9",https://www.linkedin.com/company/3617297,2013,11-50,200,reachfive.co,https://reachfive.co/,,prénom@reachfive.co,-,n.a.,-
Partoo,02LkANhkJ,15,5,-,Marketing,Développons ensemble votre visibilité en ligne et votre e-réputation pour attirer de nouveaux clients dans vos points de vente !,SaaS,B2B,-,,https://www.linkedin.com/company/10365294,2014,51-200,-,partoo.co,https://www.partoo.co/en/,,prénom@partoo.fr,5-10M€,n.a.,-
Payfit,02R26vyBf,26,"4,3",Next 40,RH,Logiciel de paie et RH en ligne,SaaS,B2B,"Accel, Frst, Eurazeo, bpifrance","70,0",https://www.linkedin.com/company/6436622,2015,501-1000,250,payfit.com,https://payfit.com,,prénom@payfit.com,-,n.a.,-
Captain Wallet,02ODbwM9t,-,n.a.,-,Marketing,Leader du mobile wallet marketing en Europe,Produit,B2B,-,,https://www.linkedin.com/company/captainwallet/,2013,11-50,-,captainwallet.com,https://www.captainwallet.com/,,,-,n.a.,-
Click2Buy,02OD6nYlH,-,n.a.,-,Marketing,"Pionnier du Where to Buy en France, la solution Click2Buy permet aux marques de rendre leur communication marchande via un bouton ""acheter maintenant"".",Produit,B2B,-,,https://www.linkedin.com/company/clic2buy/,2013,11-50,-,click2buy.com,https://www.click2buy.com/,,,-,n.a.,-
Pazzi,02EK8AZ,-,n.a.,-,Foodtech,"Un robot, de bons ingrédients et des recettes d'un triple champion du monde de la pizza.",Produit,B2B,"Qualdro, Eutopia, Partech, Daphni, The Merchant Club","10,0",https://www.linkedin.com/company/pazzi-tastemakers/,2013,11-50,53,pazzi.co,https://www.pazzi.co/,,,-,n.a.,-
PDC*line pharma,01yCiRUqz,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Korean Investment Partners, Shinhan-Cognitive Start-up Fund, BIOVENTUREFUND, SRIW, Sambrinvest","13,9",https://fr.linkedin.com/company/pdc-line-pharma,2014,11-50,75,pdc-line-pharma.com,https://www.pdc-line-pharma.com/,,,-,n.a.,-
Datananas,01yCi1FUv,4,"3,5",-,Marketing,Logiciel de prospection B2B,SaaS,B2B,-,,https://www.linkedin.com/company/datananas,2014,11-50,-,fr.datananas.com,https://fr.datananas.com/,,,-,n.a.,-
Eskimoz,02Lk88CYA,14,"4,4",-,Marketing,L'agence 100% SEO - N°1 en Référencement Naturel‎,Ads,B2B,-,,https://www.linkedin.com/company/3162423,2012,2-10,-,eskimoz.fr,http://www.eskimoz.fr,,prénom.nom@eskimoz.fr,-,n.a.,-
Perfectstay,01yCi0k4t,2,5,FT 120,Tourisme,The Holiday Deals Company,Service,B2B,-,,https://www.linkedin.com/company/772247,2016,51-200,-,perfectstay.com,https://www.perfectstay.com/en/,,,-,n.a.,-
Front,02HTzbIxq,-,n.a.,Efounders,Marketing,"Front, the inbox for teams",SaaS,B2B,-,,https://www.linkedin.com/company/3809194,2013,11-50,-,frontapp.com,http://frontapp.com,,prénom@yamayama.fr,-,n.a.,-
Phénix,02Q2LLz52,-,n.a.,-,Greentech,Solutions pour lutter contre le gaspillage alimentaire et donner une seconde vie aux invendus,Autres,B2C,-,,https://www.linkedin.com/company/phenix/,2014,201-500,,wearephenix.com,https://wearephenix.com/,,,-,n.a.,-
Phost'In Therapeutics,01mq76Dxf,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Remiges Ventures, Anri, Irdi Soridec Gestion","10,3",https://fr.linkedin.com/company/phost-in-therapeutics,n.a.,2-10,59,phostin.com,https://www.phostin.com/,,,-,n.a.,-
Kolsquare,01yCiVaAB,-,n.a.,-,Marketing,"Kolsquare, votre solution d'Influence Marketing. Marques et influenceurs.",SaaS,B2B,-,,https://www.linkedin.com/company/18763570,2018,11-50,-,kolsquare.com,http://www.kolsquare.com/fr,,prénom@brandandcelebrities.com,-,n.a.,-
Lemlist,02L7BQupQ,-,n.a.,-,Marketing,"A cold email tool powering sales teams, agencies, and B2B businesses to personalize and automate outreach campaigns.",SaaS,B2B,-,,https://www.linkedin.com/company/lemlist/,2017,11-50,-,lemlist.com,https://www.lemlist.com/,,,-,n.a.,-
Medoucine,01yCiPb3s,2,5,-,Marketing,Prenez un RDV en Médecines Douces en toute Confiance,SaaS,B2B,-,,https://www.linkedin.com/company/medoucine/,2016,11-50,-,lp.therapeute-medecine-douce.fr,http://lp.therapeute-medecine-douce.fr?utm_source=linkedin_medoucine&amp;utm_medium=page&amp;utm_campaign=etre_rappele,,,-,n.a.,-
Pitchy,02Ne47ZbI,9,"4,6",-,Marketing,Logiciel de montage vidéo en ligne,SaaS,B2B,-,,https://www.linkedin.com/company/5049026,2013,11-50,-,pitchy.fr,https://www.pitchy.fr/,,,-,n.a.,-
Platform.sh,02MWyvSm3,18,"4,7",FT 120,Autres,The end-to-end web platform for agile teams,SaaS,B2B,-,,https://www.linkedin.com/company/10304431,2014,51-200,10,platform.sh,https://platform.sh,,,-,n.a.,-
Plato (ex Birdly),01yCiRUpc,-,n.a.,-,Autres,Become a great engineering leader.,Marketplace,B2C,-,,https://www.linkedin.com/company/platohq/,2016,51-200,-,platohq.com,https://www.platohq.com/,,,-,n.a.,-
Playplay,01yChqzoJ,-,n.a.,-,Marketing,Online Video Maker | Professional video made easy,SaaS,B2B,-,,https://www.linkedin.com/company/18108892,2017,11-50,-,playplay.video,https://playplay.video,,,-,n.a.,-
Shipup,01yCi1G6L,-,n.a.,-,Marketing,"Shipup creates a branded, reassuring and intuitive post-purchase experience.",SaaS,B2B,Elaia,,https://www.linkedin.com/company/shipup/,2016,11-50,-,shipup.co,https://www.shipup.co/,,,-,n.a.,-
Smartkeyword,02Q2Y6Lkn,-,n.a.,-,Marketing,"SmartKeyword est la 1ère solution SEO vraiment complète : Augmentez vos ventes grâce à notre outil, notre accompagnement et notre formation en ligne.",SaaS,B2B,-,,https://www.linkedin.com/company/13180607,2014,11-50,-,smartkeyword.io,http://smartkeyword.io,,prénom@smartkeyword.io,-,n.a.,-
Visiperf,02N7209cQ,-,n.a.,FT 120,Marketing,"Technologies Marketing pour réseaux de points de vente: store locator, sites web et publicités digitales multilocales",Autres,B2B,-,,https://www.linkedin.com/company/visiperf/,2014,11-50,,visiperf.io,https://visiperf.io/,,,-,n.a.,-
Youlovewords,01yChtroN,-,n.a.,-,Marketing,YouLoveWords est le leader des contenus à forte valeur ajoutée,Service,B2B,-,,https://www.linkedin.com/company/3139784,2013,2-10,,youlovewords.com,http://www.youlovewords.com/,,prénom@welovewords.com,-,n.a.,-
Kobus,02IZAjl8N,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,Side Capital,"1,0",https://www.linkedin.com/company/kobustech/,2016,11-50,3,kobusapp.com,https://kobusapp.com/,,,-,n.a.,-
Diamidex,02IRB0jsi,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Total Développement Régional, SATT Sud-Est, Rugby Angels","2,0",https://fr.linkedin.com/company/diamidex/,2014,11-50,6,diamidex.com,https://diamidex.com/,,,-,n.a.,-
Hellocare,01yChoTRU,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,Hoche Partners,"2,0",https://www.linkedin.com/company/hellocareapp/,2016,11-50,6,hellocare.com,https://hellocare.com/,,,-,n.a.,-
Posos,01yChoJjp,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Melusine, Anaxago","2,0",https://www.linkedin.com/company/posos/,2017,11-50,6,posos.co,https://www.posos.co/,,,-,n.a.,-
Powell Software,01yCiTLAV,1,5,-,RH,"A la pointe des technologies Office 365 et SharePoint, la suite Powell Software révolutionne collaboration, communication et productivité en entreprise.",SaaS,B2B,"Cap Horn, Level Equity","14,4",https://www.linkedin.com/company/10273345,2015,51-200,,powell-software.com,http://www.powell-software.com,,,-,n.a.,-
Primaa,02HTpvmQU,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"50Partners, Les Entrepreneurs Investis, Bpifrance, Angels Santé","2,0",https://www.linkedin.com/company/primaa/,2018,11-50,6,primaalab.com,https://www.primaalab.com/,,,-,n.a.,-
Ganymed Robotics,01yCiVjMX,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,Business angels,"2,0",https://www.linkedin.com/company/ganymed-robotics/,2018,11-50,7,,,,,-,n.a.,-
TokTokDoc,02IZAjzAx,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,Arkéa,"2,0",https://www.linkedin.com/company/toktokdoc/,2016,11-50,7,toktokdoc.com,https://toktokdoc.com/,,,-,n.a.,-
C4Diagnostics,01yChr7jz,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Andreï Polukhtin, CAAP Création, Région Sud Investissement, R2V","2,3",https://fr.linkedin.com/company/c4diagnostics/,2017,11-50,17,c4diagnostics.com,https://www.c4diagnostics.com/,,,-,n.a.,-
Pretto,02Ne2Yo,17,"4,5",-,Fintech,"En 5 minutes, comparez en ligne les meilleurs taux immobilier et bénéficiez de l'expertise d'un courtier immobilier pour obtenir votre prêt.",Marketplace,B2C,"BlackFin, Alven","8,0",https://www.linkedin.com/company/11018428,2016,51-200,47,pretto.fr,https://www.pretto.fr,,prénom@pretto.fr,-,n.a.,-
I-Sep,02JzG3sMj,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,Go Capital Amorçage,"2,5",https://www.linkedin.com/company/11065321,2015,11-50,18,i-sep.com,http://www.i-sep.com,,,-,n.a.,-
